ORIGIN,DEST
SJU,MCO
DCA,BOS
FLL,BOS
JFK,FLL
LGB,SEA
HNL,LAX
HNL,SFO
HNL,SAN
HNL,LAS
HNL,SMF
LAX,OGG
OGG,LAX
PHX,CLT
CLT,SEA
ORD,PHX
PHX,TPA
CLT,SMF
DFW,PHX
SAN,CLT
LAX,CMH
SFO,PHL
IAH,LAX
LAX,IAH
DTW,CLT
DFW,RSW
RDU,PHL
LAX,PHX
DFW,MCO
SFO,DFW
CLT,LAX
MIA,CLT
CLT,PHX
DCA,TPA
LAX,PHX
CLT,FLL
FLL,CLT
PSP,DFW
ATL,CLT
CLT,LAX
CLT,RSW
LAS,LAX
PHL,SFO
DFW,PHX
ELP,DFW
JFK,BOS
LAX,LAS
DCA,TPA
DFW,LAS
LAX,LAS
PHL,PBI
MIA,PHL
CLT,JAX
SAT,PHX
DFW,SAT
IAH,DFW
CLT,MCO
PHL,BOS
DFW,EWR
DFW,ELP
ELP,DFW
DFW,ATL
DFW,SEA
LAX,MCO
MCO,LAX
MTJ,DFW
PHX,ORD
JFK,DCA
FLL,ORD
ATL,DFW
LAX,LAS
JAX,DFW
BZN,DFW
DFW,TUS
PHX,PDX
LAS,SMF
SMF,LAS
LAS,SFO
LAS,PHX
PHX,DEN
DEN,LAX
SLC,DEN
AUS,SFO
SFO,AUS
AUS,SAN
SAN,AUS
PHL,MCO
MCO,TTN
MCO,TTN
TTN,MCO
MCO,OMA
ISP,RSW
RSW,GRR
TTN,FLL
ISP,MCO
MCO,RDU
RDU,MCO
DEN,SFO
LAS,DEN
RDU,LAS
LAS,SJC
LAS,IND
IND,MCO
ATL,LGA
MDT,MCO
BWI,DEN
MKE,TPA
FLL,TTN
TTN,MCO
AUS,LAS
MIA,CVG
LAS,SFO
MCO,DEN
PHL,MIA
PHL,MCO
MCO,STL
DEN,LAS
MIA,MCI
STL,LGA
ATL,PHL
PHL,ATL
BWI,MIA
MIA,BWI
MIA,LGA
CMH,LGA
DSM,DCA
DTW,RDU
DTW,MBS
FNT,ATL
SYR,DTW
GSP,ATL
BWI,DTW
JFK,CLE
JFK,RDU
JFK,DFW
IAH,STL
RDU,EWR
ORD,SBN
MSP,IAH
IAH,TYS
IAH,DTW
